GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_PDOF_TR,GV_FOOTPRINT
s05_1475_1695,s14_6_15,s15_n6_0,s02_79_105,s2_1_2,s09_2007_2008,s03_1135_1355,s4_30_40,Passenger Car,s05_40_50,Not Deployed,s3_175_up,1,Male,s10_104_up,s05_75_92,s2_3_4
s03_1035_1255,s14_6_15,s14_n14_n6,s08_274_324,s2_1_2,s04_2002_2003,s05_1595_1775,s3_20_30,Passenger Car,s07_60_70,Not Deployed,s1_below_165,0,Female,s07_82_86,s05_75_92,s2_3_4
s05_1475_1695,s12_n11_n2,s14_n14_n6,s08_274_324,s3_2_3,s07_2005_2006,s04_1355_1595,s4_30_40,Passenger Car,s08_70_80,Deployed,s2_165_175,1,Female,s09_93_104,s10_162_180,s2_3_4
s05_1475_1695,s13_n2_6,s13_n20_n14,s04_131_160,s2_1_2,s10_2008_2009,s04_1355_1595,s4_30_40,Passenger Car,s03_20_30,Not Deployed,s2_165_175,0,Female,s01_below_57,s07_110_127,s2_3_4
s04_1255_1475,s15_15_25,s12_n30_n20,s14_924_1401,s2_1_2,s05_2003_2004,s02_760_1135,s6_50_60,Passenger Car,s07_60_70,Deployed,s1_below_165,0,Male,s05_73_77,s06_92_110,s2_3_4
s05_1475_1695,s13_n2_6,s14_n14_n6,s15_1401_up,s2_1_2,s09_2007_2008,s07_2075_2295,s5_40_50,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s2_165_175,0,Male,s10_104_up,s08_127_145,s2_3_4
s08_2075_2255,s13_n2_6,s13_n20_n14,s01_below_79,s2_1_2,s07_2005_2006,s04_1355_1595,s4_30_40,Truck (<=6000 lbs.),s07_60_70,Not Deployed,s1_below_165,0,Female,s01_below_57,s03_40_57,s2_3_4
s04_1255_1475,s14_6_15,s15_n6_0,s01_below_79,s2_1_2,s04_2002_2003,s02_760_1135,s4_30_40,Passenger Car,s02_10_20,Not Deployed,s1_below_165,0,Female,s05_73_77,s03_40_57,s2_3_4
s05_1475_1695,s13_n2_6,s14_n14_n6,s02_79_105,s2_1_2,s09_2007_2008,s03_1135_1355,s5_40_50,Passenger Car,s03_20_30,Deployed,s2_165_175,1,Female,s04_66_73,s09_145_162,s2_3_4
s03_1035_1255,s12_n11_n2,s12_n30_n20,s08_274_324,s2_1_2,s08_2006_2007,s02_760_1135,s5_40_50,Passenger Car,s03_20_30,Deployed,s3_175_up,2,Male,s06_77_82,s09_145_162,s2_3_4
