id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
12926,s04_1335_1555,s10_n16_n10,s14_n6_1,s02_113_167,2,2002,s06_1455_1575,s5_40_50,Passenger Car,s03_20_30,Not Deployed,s4_180_up,0,Male,s3_100_130,157,276,s5_175_up,s2_4_5,1
13027,s04_1335_1555,s12_0_3,s17_28_39,s08_577_717,7,2003,s08_1695_1855,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s1_below_165,0,Male,s1_below_70,150,272,s5_175_up,s2_4_5,1
13130,s05_1555_1675,s11_n10_0,s13_n20_n6,s02_113_167,5,2004,s05_1335_1455,s4_30_40,Passenger Car,s05_40_50,Deployed,s3_170_180,0,Male,s2_70_100,150,285,s4_135_175,s2_4_5,1
13226,s03_1035_1335,s12_0_3,s13_n20_n6,s02_113_167,2,2000,s03_1010_1135,s5_40_50,Passenger Car,s02_10_20,Deployed,s3_170_180,0,Female,s2_70_100,145,264,s3_125_135,s1_below_4,1
13327,s10_2350_2570,s11_n10_0,s13_n20_n6,s02_113_167,3,2002,s03_1010_1135,s3_20_30,Truck (<=10000 lbs.),s05_40_50,Deployed,s1_below_165,0,Female,s1_below_70,174,351,s4_135_175,s4_6_7,1
13393,s03_1035_1335,s09_n26_n16,s14_n6_1,s03_167_230,3,2000,s08_1695_1855,s5_40_50,Passenger Car,s03_20_30,Not Deployed,s1_below_165,0,Female,s1_below_70,146,246,s5_175_up,s1_below_4,1
13465,s06_1675_1935,s11_n10_0,s13_n20_n6,s01_below_113,2,2003,s03_1010_1135,s3_20_30,Truck (<=6000 lbs.),s03_20_30,Not Deployed,s4_180_up,0,Male,s2_70_100,154,237,s4_135_175,s1_below_4,1
13555,s03_1035_1335,s11_n10_0,s15_1_17,s01_below_113,3,2003,s05_1335_1455,s5_40_50,Passenger Car,s05_40_50,Not Deployed,s3_170_180,0,Male,s2_70_100,145,264,s5_175_up,s1_below_4,1
13676,s06_1675_1935,s12_0_3,s13_n20_n6,s04_230_290,4,2003,s09_1855_2075,s4_30_40,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s3_170_180,0,Male,s2_70_100,162,303,s3_125_135,s2_4_5,1
13772,s04_1335_1555,s11_n10_0,s13_n20_n6,s01_below_113,6,2000,s07_1575_1695,s4_30_40,Passenger Car,s03_20_30,Deployed,s2_165_170,0,Male,s1_below_70,151,272,s4_135_175,s2_4_5,1
13862,s05_1555_1675,s12_0_3,s13_n20_n6,s02_113_167,3,2002,s04_1135_1335,s4_30_40,Passenger Car,s03_20_30,Deployed,s2_165_170,0,Male,s1_below_70,153,244,s3_125_135,s1_below_4,1
13981,s04_1335_1555,s11_n10_0,s12_n28_n20,s08_577_717,5,2000,s03_1010_1135,s5_40_50,Passenger Car,s03_20_30,Deployed,s3_170_180,0,Female,s2_70_100,149,273,s4_135_175,s2_4_5,1
14089,s04_1335_1555,s15_17_25,s14_n6_1,s01_below_113,2,2000,s03_1010_1135,s4_30_40,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s3_170_180,0,Male,s2_70_100,147,237,s2_95_125,s1_below_4,1
14215,s05_1555_1675,s12_0_3,s16_17_28,s04_230_290,2,2003,s05_1335_1455,s8_70_up,Truck (<=6000 lbs.),s03_20_30,Not Deployed,s1_below_165,0,Female,s1_below_70,157,272,s5_175_up,s2_4_5,1
14306,s04_1335_1555,s12_0_3,s14_n6_1,s04_230_290,2,2003,s13_2535_2645,s5_40_50,Passenger Car,s03_20_30,Not Deployed,s1_below_165,0,Female,s1_below_70,156,272,s5_175_up,s2_4_5,1
14439,s03_1035_1335,s12_0_3,s13_n20_n6,s01_below_113,3,2001,s09_1855_2075,s4_30_40,Passenger Car,s04_30_40,Not Deployed,s3_170_180,0,Male,s2_70_100,147,262,s3_125_135,s1_below_4,1
14537,s05_1555_1675,s11_n10_0,s12_n28_n20,s02_113_167,4,2001,s04_1135_1335,s4_30_40,Passenger Car,s04_30_40,Not Deployed,s4_180_up,0,Male,s1_below_70,155,272,s4_135_175,s2_4_5,1
14638,s05_1555_1675,s10_n16_n10,s14_n6_1,s03_167_230,4,2002,s09_1855_2075,s3_20_30,Passenger Car,s04_30_40,Not Deployed,s4_180_up,0,Male,s2_70_100,157,287,s5_175_up,s2_4_5,1
14737,s04_1335_1555,s12_0_3,s11_n38_n28,s06_366_468,5,2004,s15_2800_2955,s5_40_50,Passenger Car,s02_10_20,Not Deployed,s3_170_180,0,Female,s1_below_70,149,253,s4_135_175,s1_below_4,1
14854,s13_2910_3130,s12_0_3,s13_n20_n6,s08_577_717,5,2002,s04_1135_1335,s4_30_40,Truck (<=10000 lbs.),s05_40_50,Deployed,s4_180_up,0,Male,s3_100_130,174,438,s4_135_175,s5_7_up,1
14978,s07_1935_2075,s11_n10_0,s13_n20_n6,s01_below_113,2,2002,s03_1010_1135,s5_40_50,Truck (<=6000 lbs.),s04_30_40,Not Deployed,s3_170_180,0,Male,s2_70_100,150,320,s5_175_up,s2_4_5,1
15080,s04_1335_1555,s12_0_3,s15_1_17,s03_167_230,3,2001,s05_1335_1455,s6_50_60,Passenger Car,s02_10_20,Not Deployed,s1_below_165,0,Female,s1_below_70,154,257,s5_175_up,s1_below_4,1
15170,s08_2075_2210,s11_n10_0,s13_n20_n6,s04_230_290,2,2000,s04_1135_1335,s4_30_40,Passenger Car,s02_10_20,Not Deployed,s4_180_up,0,Male,s3_100_130,154,290,s4_135_175,s2_4_5,1
15301,s04_1335_1555,s12_0_3,s17_28_39,s09_717_877,3,2000,s04_1135_1335,s6_50_60,Passenger Car,s04_30_40,Not Deployed,s1_below_165,0,Female,s1_below_70,151,263,s5_175_up,s1_below_4,1
15429,s06_1675_1935,s12_0_3,s12_n28_n20,s09_717_877,2,2003,s02_780_1010,s6_50_60,Truck (<=6000 lbs.),s05_40_50,Deployed,s3_170_180,0,Male,s2_70_100,160,285,s4_135_175,s2_4_5,1
15556,s10_2350_2570,s11_n10_0,s13_n20_n6,s05_290_366,4,2000,s05_1335_1455,s5_40_50,Truck (<=6000 lbs.),s04_30_40,Deployed,s2_165_170,0,Female,s1_below_70,168,300,s4_135_175,s3_5_6,1
15646,s04_1335_1555,s11_n10_0,s13_n20_n6,s03_167_230,7,2000,s06_1455_1575,s4_30_40,Truck (<=6000 lbs.),s03_20_30,Not Deployed,s3_170_180,0,Male,s2_70_100,139,300,s4_135_175,s2_4_5,1
15771,s12_2735_2910,s13_3_13,s13_n20_n6,s02_113_167,3,2000,s07_1575_1695,s6_50_60,Truck (<=10000 lbs.),s04_30_40,Not Deployed,s4_180_up,0,Male,s2_70_100,161,399,s4_135_175,s4_6_7,1
15899,s05_1555_1675,s13_3_13,s13_n20_n6,s04_230_290,4,2003,s09_1855_2075,s5_40_50,Passenger Car,s05_40_50,Not Deployed,s3_170_180,0,Male,s2_70_100,157,276,s2_95_125,s2_4_5,1
16012,s04_1335_1555,s11_n10_0,s12_n28_n20,s04_230_290,4,2000,s06_1455_1575,s4_30_40,Passenger Car,s05_40_50,Not Deployed,s3_170_180,0,Male,s2_70_100,154,257,s1_below_95,s1_below_4,1
16102,s09_2210_2350,s10_n16_n10,s14_n6_1,s06_366_468,2,2003,s03_1010_1135,s6_50_60,Truck (<=10000 lbs.),s09_80_90,Not Deployed,s4_180_up,0,Male,s2_70_100,170,353,s5_175_up,s4_6_7,1
