idrGV_CURBWGTrGV_DVLATrGV_DVLONGrGV_ENERGYrGV_LANESrGV_MODELYRrGV_OTVEHWGTrGV_SPLIMITrGV_WGTCDTRrOA_AGErOA_BAGDEPLYrOA_HEIGHTrOA_MAISrOA_SEXrOA_WEIGHTrVE_ORIGAVTWrVE_WHEELBASrVE_PDOF_TRrGV_FOOTPRINT
1rs13_1910_2060rs5_9_uprs5_n5_uprs07_230_274rs4_3_4rs05_2003_2004rs05_1595_1775rs5_40_50r"Truck (<=6000 lbs.)"rs07_60_70rNot Deployedrs3_175_upr0rMalers10_104_uprrrs07_110_127rs2_3_4
2rs10_1610_1710rs2_n7_0rs3_n17_n12rs03_105_131rs4_3_4rs06_2004_2005rs06_1775_2075rs5_40_50r"Passenger Car"rs05_40_50rDeployedrs3_175_upr1rMalers07_82_86rrrs07_110_127rs2_3_4
3rs12_1810_1910rs2_n7_0rs4_n12_n5rs09_324_383rs2_1_2rs08_2006_2007rs03_1135_1355rs5_40_50r"Passenger Car"rs09_80_90rNot Deployedrs3_175_upr0rMalers06_77_82rrrs10_162_180rs3_4_5
4rs04_1280_1380rs4_3_9rs2_n25_n17rs09_324_383rs2_1_2rs06_2004_2005rs03_1135_1355rs5_40_50r"Passenger Car"rs04_30_40rDeployedrs2_165_175r1rFemalers03_61_66rrrs07_110_127rs2_3_4
5rs08_1510_1560rs4_3_9rs3_n17_n12rs13_708_924rs2_1_2rs08_2006_2007rs04_1355_1595rs4_30_40r"Passenger Car"rs06_50_60rNot Deployedrs3_175_upr0rFemalers09_93_104rrrs07_110_127rs2_3_4
6rs03_1200_1280rs3_0_3rs5_n5_uprs12_562_708rs2_1_2rs05_2003_2004rs06_1775_2075rs6_50_60r"Passenger Car"rs03_20_30rNot Deployedrs1_below_165r1rFemalers05_73_77rrrs18_302_320rs2_3_4
7rs15_2320_uprs3_0_3rs4_n12_n5rs04_131_160rs5_4_5rs04_2002_2003rs03_1135_1355rs5_40_50r"Truck (<=10000 lbs.)"rs05_40_50rNot Deployedrs2_165_175r0rMalers07_82_86rrrs07_110_127rs3_4_5
8rs10_1610_1710rs1_below_n7rs1_below_n25rs15_1401_uprs2_1_2rs03_2001_2002rs06_1775_2075rs6_50_60r"Passenger Car"rs03_20_30rDeployedrs2_165_175r6rMalers04_66_73rrrs09_145_162rs2_3_4
9rs12_1810_1910rs4_3_9rs1_below_n25rs10_383_461rs2_1_2rs06_2004_2005rs04_1355_1595rs6_50_60r"Truck (<=6000 lbs.)"rs05_40_50rDeployedrs3_175_upr1rMalers10_104_uprrrs07_110_127rs2_3_4
10rs06_1420_1470rs1_below_n7rs1_below_n25rs15_1401_uprs2_1_2rs04_2002_2003rs06_1775_2075rs6_50_60r"Truck (<=6000 lbs.)"rs03_20_30rDeployedrs2_165_175r3rFemalers05_73_77rrrs09_145_162rs2_3_4
11rs12_1810_1910rs4_3_9rs1_below_n25rs10_383_461rs2_1_2rs04_2002_2003rs04_1355_1595rs6_50_60r"Truck (<=6000 lbs.)"rs03_20_30rDeployedrs3_175_upr1rMalers04_66_73rrrs07_110_127rs2_3_4
12rs07_1470_1510rs5_9_uprs5_n5_uprs08_274_324rs2_1_2rs05_2003_2004rs04_1355_1595rs5_40_50r"Truck (<=6000 lbs.)"rs05_40_50rDeployedrs1_below_165r1rFemalers05_73_77rrrs07_110_127rs2_3_4
13rs05_1380_1420rs3_0_3rs2_n25_n17rs15_1401_uprs2_1_2rs06_2004_2005rs04_1355_1595rs5_40_50r"Passenger Car"rs04_30_40rDeployedrs1_below_165r0rFemalers01_below_57rrrs08_127_145rs2_3_4
14rs06_1420_1470rs3_0_3rs4_n12_n5rs01_below_79rs2_1_2rs05_2003_2004rs03_1135_1355rs6_50_60r"Truck (<=6000 lbs.)"rs02_10_20rDeployedrs1_below_165r1rFemalers03_61_66rrrs08_127_145rs2_3_4
15rs04_1280_1380rs4_3_9rs5_n5_uprs13_708_924rs2_1_2rs05_2003_2004rs07_2075_2295rs5_40_50r"Passenger Car"rs05_40_50rNot Deployedrs1_below_165r1rFemalers03_61_66rrrs19_320_337rs2_3_4
16rs09_1560_1610rs3_0_3rs4_n12_n5rs04_131_160rs5_4_5rs05_2003_2004rs04_1355_1595rs4_30_40r"Passenger Car"rs06_50_60rNot Deployedrs3_175_upr0rMalers04_66_73rrrs06_92_110rs2_3_4
