GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_MANUSE,OA_SEX,OA_WEIGHT,VE_GAD1,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
1760,-52,-30,3003,3,2000,2170,50,Truck (<=6000 lbs.),80,Deployed,165,3,0,Female,64,Right,159,290,195,4.611
1710,0,-62,2932,2,2004,2250,55,Truck (<=6000 lbs.),37,Deployed,170,2,0,Female,64,Front,161,275,135,4.4275
1160,-62,-11,2921,3,2000,2130,35,Passenger Car,51,Not Deployed,155,5,1,Female,91,Right,147,267,215,3.9249
1390,0,-64,2917,2,2011,1700,45,Passenger Car,28,Deployed,170,3,1,Female,64,Front,154,278,135,4.2812
1140,0,-96,2899,2,2005,1760,55,Passenger Car,37,Deployed,170,3,1,Female,78,Front,147,253,135,3.7191
1330,-48,-17,2895,2,2000,1140,45,Passenger Car,18,Deployed,155,1,1,Female,55,Right,154,272,205,4.1888
1470,-28,-49,2824,4,2005,1760,40,Passenger Car,25,Deployed,163,5,0,Female,61,Front,154,267,165,4.1118
1700,0,-62,2822,7,2001,1080,40,Truck (<=6000 lbs.),22,Deployed,157,2,1,Female,50,Front,149,259,135,3.8591
1400,0,-50,2779,2,2001,1240,65,Truck (<=6000 lbs.),58,Deployed,155,2,1,Female,50,Front,146,248,135,3.6208
1740,-18,-49,2765,4,2004,1310,45,Truck (<=6000 lbs.),20,Deployed,170,1,1,Female,78,Front,153,265,155,4.0545
1140,55,-20,2759,2,2002,1770,55,Passenger Car,18,Not Deployed,168,3,1,Female,50,Left,146,246,65,3.5916
1460,22,-59,2655,5,2007,2370,40,Passenger Car,22,Deployed,170,3,1,Female,78,Front,156,272,115,4.2432
1790,45,0,2639,3,2007,2080,25,Truck (<=6000 lbs.),33,Not Deployed,165,2,1,Female,64,Left,161,285,55,4.5885
1580,-43,-8,2606,5,2004,1380,45,Truck (<=6000 lbs.),40,Deployed,170,0,1,Female,78,Right,155,271,215,4.2005
1660,10,-56,2605,4,2005,1490,50,Truck (<=6000 lbs.),68,Deployed,168,3,1,Female,79,Front,157,286,125,4.4902
1880,0,-47,2530,2,2002,1430,55,Truck (<=6000 lbs.),45,Deployed,170,1,1,Female,92,Front,162,303,135,4.9086
