GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_MANUSE,OA_SEX,OA_WEIGHT,VE_GAD1,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
1980,12,-34,1018,4,2008,1570,55,Truck (<=6000 lbs.),54,Deployed,163,1,1,Female,70,Front,161,278,115,4.4758
1260,21,-121,1017,3,2006,1750,70,Passenger Car,24,Deployed,168,4,1,Female,68,Front,151,265,125,4.0015
1330,15,-26,1015,3,2006,1690,45,Passenger Car,18,Not Deployed,165,1,1,Female,48,Left,151,270,105,4.077
1210,-14,-38,1013,1,2001,1615,0,Passenger Car,48,Deployed,165,0,1,Female,70,Front,145,264,155,3.828
1870,-9,-25,1013,2,2004,1500,35,Truck (<=6000 lbs.),42,Deployed,173,1,1,Female,64,Front,169,303,155,5.1207
1770,-16,-28,1013,6,2007,1950,45,Truck (<=6000 lbs.),52,Deployed,163,3,0,Female,75,Front,156,286,165,4.4616
1550,-20,-35,1012,3,2005,1640,30,Passenger Car,38,Deployed,168,1,1,Female,69,Right,152,285,165,4.332
1810,-16,-27,1010,2,2000,2200,35,Truck (<=6000 lbs.),58,Deployed,157,1,1,Female,59,Right,164,303,165,4.9692
1760,16,-28,1010,3,2006,1500,50,Truck (<=6000 lbs.),51,Not Deployed,168,1,1,Female,91,Left,157,272,105,4.2704
1230,8,-44,1009,4,2008,2030,25,Passenger Car,38,Deployed,163,3,1,Female,59,Front,150,265,125,3.975
1390,34,-6,1008,5,2001,2150,45,Passenger Car,76,Not Deployed,160,1,1,Female,66,Left,150,272,55,4.08
1320,-17,-29,1006,2,2000,1390,55,Passenger Car,27,Deployed,170,1,1,Female,82,Front,151,271,165,4.0921
1600,12,-33,1006,3,2007,2840,30,Passenger Car,45,Deployed,160,1,0,Female,113,Front,157,277,115,4.3489
2080,8,-22,1004,5,2007,1160,40,Truck (<=10000 lbs.),58,Deployed,170,0,1,Female,78,Front,170,310,115,5.27
1380,-20,-35,1003,2,2000,2340,35,Passenger Car,27,Deployed,163,4,1,Female,90,Right,150,272,165,4.08
1600,-9,-25,1003,3,2002,1160,40,Passenger Car,24,Deployed,173,1,1,Female,54,Front,154,275,155,4.235
1200,0,40,1003,4,2004,1280,45,Passenger Car,27,Not Deployed,163,0,1,Female,59,Rear,147,253,315,3.7191
1650,5,-31,1001,4,2003,1200,35,Passenger Car,39,Deployed,180,2,0,Female,66,Front,156,286,125,4.4616
1560,6,-36,999,2,2002,1310,55,Passenger Car,32,Deployed,170,2,1,Female,113,Front,156,281,125,4.3836
2110,-16,-19,999,3,2006,1640,45,Truck (<=6000 lbs.),42,Deployed,165,1,1,Female,56,Front,158,279,175,4.4082
1380,-40,-7,999,4,2001,1240,35,Passenger Car,60,Not Deployed,157,1,1,Female,72,Right,151,272,215,4.1072
1550,-27,-10,999,4,2002,1440,40,Passenger Car,24,Deployed,170,1,1,Female,54,Right,157,281,205,4.4117
2010,-5,-31,997,2,2003,1690,55,Truck (<=6000 lbs.),37,Deployed,170,1,1,Female,59,Front,170,269,145,4.573
1460,-20,-24,996,3,2003,1350,40,Passenger Car,18,Deployed,163,1,0,Female,68,Front,154,272,175,4.1888
1660,11,-29,995,5,2000,2090,40,Truck (<=6000 lbs.),32,Deployed,157,1,1,Female,118,Front,162,288,115,4.6656
1470,0,34,994,3,2006,1660,45,Passenger Car,62,Not Deployed,165,1,1,Female,99,Rear,152,274,315,4.1648
720,11,65,993,3,2005,1380,70,Truck (<=6000 lbs.),43,Not Deployed,163,1,1,Female,66,Rear,158,272,325,4.2976
1460,0,-41,993,4,2005,1660,60,Passenger Car,48,Not Deployed,145,1,1,Female,57,Front,156,272,135,4.2432
1300,0,39,991,3,2001,2240,35,Passenger Car,25,Deployed,165,1,1,Female,71,Rear,151,262,315,3.9562
1410,-20,-34,991,5,2004,1770,25,Passenger Car,19,Deployed,163,1,1,Female,82,Front,150,272,165,4.08
2370,-12,-33,990,5,2003,1030,35,Truck (<=10000 lbs.),21,Deployed,160,1,1,Female,48,Front,166,330,155,5.478
1510,-7,-42,989,2,2004,1550,35,Passenger Car,28,Deployed,165,0,1,Female,82,Front,151,266,145,4.0166
2130,9,-25,989,2,2001,1530,30,Truck (<=10000 lbs.),29,Deployed,170,0,0,Female,91,Front,157,295,115,4.6315
1260,-17,-47,986,5,2008,1260,50,Passenger Car,25,Deployed,163,1,1,Female,91,Front,149,262,155,3.9038
1570,9,-49,986,5,2005,1270,45,Passenger Car,56,Deployed,160,3,1,Female,86,Front,155,272,125,4.216
1410,-3,19,985,2,2003,1200,45,Passenger Car,46,Not Deployed,157,1,1,Female,53,Rear,150,272,305,4.08
1580,6,-33,984,6,2007,1300,45,Passenger Car,24,Deployed,173,2,1,Female,104,Front,156,258,125,4.0248
1250,-6,32,980,3,2005,2200,40,Passenger Car,29,Deployed,160,1,1,Female,57,Rear,152,264,305,4.0128
1520,32,-12,979,2,2000,1810,30,Passenger Car,81,Not Deployed,165,4,0,Female,66,Left,158,276,65,4.3608
2060,0,36,979,3,2008,2040,70,Truck (<=6000 lbs.),42,Not Deployed,170,1,1,Female,82,Rear,158,287,315,4.5346
1130,-16,-27,978,2,2001,1980,55,Passenger Car,26,Deployed,173,1,1,Female,118,Front,144,250,165,3.6
1370,8,-43,978,3,2002,1600,40,Passenger Car,20,Deployed,165,2,1,Female,50,Front,155,280,125,4.34
1410,0,-40,977,4,2004,2770,40,Passenger Car,48,Deployed,163,0,1,Female,82,Front,153,257,135,3.9321
2140,15,-18,976,2,2001,1610,55,Truck (<=10000 lbs.),46,Deployed,170,1,1,Female,66,Front,157,352,95,5.5264
1580,-9,-24,976,5,2005,2060,45,Passenger Car,20,Deployed,163,1,1,Female,54,Front,157,281,155,4.4117
1740,-12,-32,975,2,2004,2080,55,Truck (<=6000 lbs.),32,Deployed,170,1,1,Female,64,Front,150,265,155,3.975
1510,-25,-15,975,3,2001,1410,30,Passenger Car,40,Not Deployed,157,1,1,Female,50,Right,152,275,195,4.18
1200,-35,-6,975,4,2003,1510,55,Passenger Car,36,Deployed,163,4,1,Female,79,Right,148,261,215,3.8628
1130,-18,-31,974,4,2008,1810,45,Passenger Car,21,Deployed,170,0,1,Female,78,Front,147,250,165,3.675
2140,-29,-35,973,2,2003,2000,35,Truck (<=6000 lbs.),23,Deployed,168,1,1,Female,61,Front,158,287,175,4.5346
1740,0,-31,973,4,2007,1600,45,Truck (<=6000 lbs.),61,Deployed,163,1,1,Female,54,Front,161,302,135,4.8622
1460,0,39,973,5,2003,1380,65,Truck (<=6000 lbs.),47,Not Deployed,165,1,1,Female,54,Rear,150,248,315,3.72
1500,-21,-36,973,5,2003,2720,45,Passenger Car,20,Deployed,173,1,0,Female,57,Right,154,265,165,4.081
1560,22,-37,973,6,2000,960,50,Truck (<=6000 lbs.),64,Deployed,160,1,1,Female,67,Front,162,288,105,4.6656
1220,0,39,972,2,2003,1900,35,Passenger Car,53,Not Deployed,170,1,0,Female,91,Rear,148,262,315,3.8776
1900,-23,-19,970,6,2008,1600,40,Truck (<=6000 lbs.),65,Not Deployed,160,1,1,Female,78,Right,155,272,185,4.216
1280,-23,-28,969,1,2008,1410,45,Passenger Car,20,Deployed,155,1,1,Female,57,Right,151,269,175,4.0619
1810,0,30,969,5,2006,1910,35,Passenger Car,40,Not Deployed,170,1,1,Female,92,Rear,160,305,315,4.88
1440,12,-32,968,2,2003,1560,35,Passenger Car,49,Deployed,170,2,0,Female,90,Front,155,272,115,4.216
1070,-12,-33,968,4,2000,1420,35,Passenger Car,21,Deployed,157,3,1,Female,59,Front,148,262,155,3.8776
1100,17,-46,967,2,2001,1040,45,Passenger Car,27,Deployed,170,2,1,Female,78,Front,147,262,115,3.8514
2100,0,26,967,2,2008,1260,55,Truck (<=10000 lbs.),34,Not Deployed,160,0,1,Female,82,Rear,165,308,315,5.082
1720,0,40,967,3,2008,1400,40,Truck (<=6000 lbs.),26,Not Deployed,163,1,1,Female,57,Rear,155,271,315,4.2005
1580,28,-24,966,2,2001,1920,30,Truck (<=6000 lbs.),59,Deployed,160,4,1,Female,54,Left,148,319,85,4.7212
1890,9,-24,965,2,2003,1670,35,Truck (<=6000 lbs.),48,Not Deployed,173,1,1,Female,61,Front,155,289,115,4.4795
2650,17,-21,965,2,2008,1980,45,Truck (<=10000 lbs.),35,Deployed,178,3,1,Female,78,Front,173,330,95,5.709
2080,-17,-10,964,2,2005,1300,45,Truck (<=6000 lbs.),22,Deployed,157,0,0,Female,50,Front,158,287,195,4.5346
2620,-3,-20,964,3,2006,1230,45,Truck (<=10000 lbs.),38,Deployed,163,0,1,Female,52,Front,169,352,145,5.9488
1540,28,-16,963,2,2005,1520,30,Truck (<=6000 lbs.),58,Deployed,168,1,1,Female,68,Left,158,258,75,4.0764
1560,0,-47,961,2,2001,1720,40,Passenger Car,25,Deployed,157,1,0,Female,100,Front,158,277,135,4.3766
1660,7,-37,961,4,2005,1090,35,Passenger Car,18,Deployed,165,1,1,Female,50,Front,150,285,125,4.275
1140,-20,-34,960,7,2005,1615,35,Passenger Car,23,Deployed,157,3,1,Female,48,Right,148,260,165,3.848
2430,-14,-8,958,2,2000,1520,55,Passenger Car,42,Not Deployed,160,2,1,Female,48,Right,161,305,195,4.9105
1180,-28,-24,958,3,2002,1550,45,Passenger Car,46,Not Deployed,152,1,1,Female,73,Right,145,264,185,3.828
1850,-13,-23,958,4,2002,1490,30,Truck (<=6000 lbs.),48,Deployed,150,1,1,Female,45,Front,154,270,165,4.158
1390,-6,32,958,5,2005,1730,45,Passenger Car,40,Not Deployed,163,0,1,Female,59,Rear,157,274,305,4.3018
2260,-11,-19,957,5,2002,1930,40,Truck (<=10000 lbs.),42,Not Deployed,163,3,1,Female,109,Front,173,357,165,6.1761
1210,35,6,956,2,2002,1540,55,Passenger Car,18,Not Deployed,168,5,1,Female,61,Left,145,264,35,3.828
1470,12,-69,956,2,2002,1600,35,Passenger Car,38,Deployed,160,3,1,Female,48,Front,154,257,125,3.9578
1520,-13,-37,956,2,2008,1670,35,Passenger Car,20,Deployed,168,1,0,Female,82,Front,157,277,155,4.3489
1570,33,-19,955,4,2002,1890,45,Truck (<=6000 lbs.),29,Deployed,157,0,1,Female,54,Front,151,268,75,4.0468
1420,0,-51,954,2,2001,1400,70,Passenger Car,62,Deployed,163,4,1,Female,61,Front,154,272,135,4.1888
2210,-13,-36,953,2,2011,2710,55,Truck (<=10000 lbs.),33,Deployed,170,1,1,Female,59,Front,171,302,155,5.1642
1550,15,18,953,3,2007,1580,40,Truck (<=6000 lbs.),43,Not Deployed,168,0,1,Female,61,Rear,151,263,355,3.9713
1890,8,-45,953,3,2003,1410,45,Truck (<=6000 lbs.),24,Deployed,170,3,1,Female,78,Front,156,289,125,4.5084
1510,0,-27,952,2,2000,2400,45,Passenger Car,17,Deployed,157,0,1,Female,50,Front,157,276,135,4.3332
1530,-19,-22,952,2,2008,1570,25,Truck (<=6000 lbs.),25,Deployed,168,1,1,Female,61,Front,153,269,175,4.1157
1490,23,-14,951,2,2004,1440,35,Passenger Car,52,Not Deployed,170,1,1,Female,78,Left,155,267,75,4.1385
1450,0,45,947,3,2001,2310,70,Truck (<=6000 lbs.),55,Not Deployed,157,2,1,Female,57,Rear,153,262,315,4.0086
1810,33,-6,947,3,2004,2320,45,Truck (<=6000 lbs.),43,Not Deployed,160,3,1,Female,50,Left,151,269,55,4.0619
1870,0,29,947,5,2000,1480,40,Truck (<=6000 lbs.),37,Not Deployed,165,0,1,Female,62,Rear,147,269,315,3.9543
1510,22,-19,946,3,2001,1420,35,Passenger Car,53,Deployed,165,5,0,Female,109,Left,151,272,85,4.1072
1610,-13,-36,946,6,2010,2050,45,Passenger Car,22,Deployed,168,0,1,Female,82,Front,157,281,155,4.4117
1770,16,-43,943,4,2000,1220,55,Truck (<=6000 lbs.),35,Deployed,165,1,1,Female,73,Front,158,305,115,4.819
1750,-14,-38,941,3,2004,1760,45,Truck (<=6000 lbs.),31,Deployed,173,1,1,Female,93,Front,161,288,155,4.6368
1980,0,34,940,3,2004,2320,50,Truck (<=6000 lbs.),55,Not Deployed,165,0,1,Female,105,Rear,168,300,315,5.04
1530,-6,-32,940,5,2001,1320,45,Passenger Car,24,Deployed,160,1,1,Female,102,Front,156,277,145,4.3212
1540,-32,12,939,2,2008,1630,65,Passenger Car,30,Not Deployed,163,0,1,Female,59,Right,150,258,245,3.87
1940,-17,-14,939,2,2001,1360,45,Truck (<=6000 lbs.),59,Deployed,170,1,0,Female,91,Front,165,282,185,4.653
2050,11,-31,939,5,2004,1460,55,Truck (<=6000 lbs.),35,Deployed,157,0,1,Female,48,Front,170,270,115,4.59
1260,-6,34,938,3,2008,1400,40,Passenger Car,50,Deployed,170,5,1,Female,141,Rear,148,262,305,3.8776
1850,0,24,938,6,2005,1510,55,Passenger Car,59,Not Deployed,170,0,1,Female,66,Rear,159,293,315,4.6587
1560,-16,-28,937,2,2001,1700,20,Passenger Car,50,Deployed,157,1,1,Female,66,Front,157,277,165,4.3489
1270,10,-28,937,3,2003,1550,35,Passenger Car,52,Deployed,170,1,1,Female,78,Front,152,259,115,3.9368
1430,-15,-26,937,3,2004,1350,55,Passenger Car,38,Not Deployed,175,1,1,Female,91,Right,150,272,165,4.08
1780,-28,5,934,1,2000,1320,0,Passenger Car,20,Not Deployed,150,1,0,Female,39,Right,150,270,235,4.05
1200,0,-51,934,3,2003,1350,60,Passenger Car,31,Deployed,165,3,1,Female,50,Front,149,262,135,3.9038
1550,10,-27,934,3,2001,1480,65,Truck (<=6000 lbs.),46,Deployed,155,2,1,Female,90,Front,148,319,115,4.7212
1310,0,-46,933,2,2007,1780,35,Truck (<=6000 lbs.),60,Deployed,160,0,1,Female,54,Front,155,266,135,4.123
1480,8,-46,933,3,2003,2170,45,Truck (<=6000 lbs.),34,Deployed,163,1,1,Female,50,Front,153,262,125,4.0086
1580,17,-20,933,5,2004,2030,35,Passenger Car,35,Deployed,163,1,1,Female,68,Front,155,281,95,4.3555
1380,23,-8,932,4,2000,1540,45,Passenger Car,63,Not Deployed,152,1,1,Female,51,Left,150,272,65,4.08
1990,7,-40,932,4,2001,1380,50,Truck (<=6000 lbs.),47,Deployed,170,0,0,Female,78,Front,154,269,125,4.1426
2420,0,-30,931,2,2001,1500,45,Truck (<=10000 lbs.),67,Deployed,170,2,1,Female,59,Front,166,302,135,5.0132
1530,19,-11,931,5,2005,2000,35,Passenger Car,31,Deployed,163,1,1,Female,61,Front,152,285,75,4.332
1620,14,-39,930,1,2010,1540,40,Passenger Car,47,Deployed,163,1,1,Female,72,Front,150,276,115,4.14
1730,5,-28,930,2,2000,1190,45,Truck (<=6000 lbs.),45,Deployed,165,1,1,Female,81,Front,142,272,125,3.8624
1970,0,45,930,4,2001,1970,65,Truck (<=6000 lbs.),33,Not Deployed,152,3,1,Female,50,Rear,152,276,315,4.1952
1560,27,-22,929,2,2002,1560,55,Passenger Car,20,Deployed,170,6,1,Female,57,Left,153,274,85,4.1922
1320,0,-36,928,2,2008,1580,40,Passenger Car,25,Deployed,170,1,0,Female,78,Front,151,270,135,4.077
1550,-20,-24,928,5,2000,1460,45,Passenger Car,74,Not Deployed,155,2,1,Female,59,Right,153,272,175,4.1616
1960,15,-18,925,2,2004,1920,45,Truck (<=10000 lbs.),31,Deployed,157,0,1,Female,64,Front,165,353,95,5.8245
1300,-22,-26,925,7,2006,2020,40,Passenger Car,56,Deployed,165,1,1,Female,71,Right,149,261,175,3.8889
1410,-28,-16,924,2,2004,2560,25,Passenger Car,49,Deployed,155,1,1,Female,100,Right,153,274,195,4.1922
1520,-11,-31,924,2,2002,1610,55,Passenger Car,54,Deployed,152,1,1,Female,91,Front,157,281,155,4.4117
1820,-19,-22,923,2,2006,2210,30,Truck (<=6000 lbs.),18,Not Deployed,170,0,1,Female,59,Front,153,265,175,4.0545
1590,-6,-32,922,4,2003,1300,45,Passenger Car,56,Deployed,170,2,1,Female,78,Front,155,269,145,4.1695
1560,0,-53,921,3,2004,1550,50,Passenger Car,34,Deployed,160,1,1,Female,59,Front,148,240,135,3.552
1930,18,-31,921,4,2003,1950,45,Truck (<=6000 lbs.),35,Deployed,157,1,1,Female,57,Front,168,300,105,5.04
1330,0,36,920,2,2000,1820,45,Passenger Car,64,Not Deployed,173,1,1,Female,56,Rear,154,272,315,4.1888
1430,-12,-34,920,5,2007,1930,40,Passenger Car,67,Deployed,160,1,1,Female,77,Front,154,273,155,4.2042
1370,6,36,919,2,2004,2130,45,Passenger Car,47,Not Deployed,163,1,1,Female,61,Rear,156,267,325,4.1652
2150,-8,-22,919,2,2004,1050,40,Truck (<=10000 lbs.),49,Deployed,165,1,0,Female,70,Front,167,365,155,6.0955
1800,23,-14,917,2,2003,1080,45,Passenger Car,49,Not Deployed,157,4,1,Female,52,Left,159,285,75,4.5315
2760,0,-21,917,3,2003,2140,45,Truck (<=10000 lbs.),51,Not Deployed,163,2,1,Female,95,Front,173,300,135,5.19
1820,0,-38,917,5,2002,1060,35,Truck (<=6000 lbs.),36,Deployed,157,1,1,Female,48,Front,156,262,135,4.0872
1230,-24,-28,916,4,2006,1540,35,Passenger Car,23,Deployed,173,0,1,Female,54,Front,148,257,175,3.8036
1470,5,-29,915,2,2004,1600,35,Passenger Car,24,Deployed,163,1,0,Female,58,Front,155,280,125,4.34
1130,-16,-27,915,5,2007,1810,35,Passenger Car,18,Not Deployed,160,1,1,Female,52,Right,145,245,165,3.5525
1470,0,-39,914,3,2005,1615,55,Passenger Car,22,Deployed,163,1,1,Female,76,Front,151,270,135,4.077
1240,-36,-13,914,7,2005,2350,35,Passenger Car,24,Not Deployed,170,1,1,Female,54,Right,147,267,205,3.9249
2170,9,-16,913,2,2005,1970,55,Truck (<=6000 lbs.),46,Not Deployed,157,0,1,Female,54,Front,158,287,105,4.5346
1580,-13,-36,913,4,2004,1420,40,Passenger Car,20,Deployed,178,0,1,Female,59,Front,156,281,155,4.3836
1290,29,-16,912,2,2000,1920,25,Passenger Car,30,Not Deployed,170,2,1,Female,78,Left,150,262,75,3.93
1130,-13,-36,911,2,2000,1615,40,Passenger Car,18,Deployed,163,1,1,Female,54,Front,144,250,155,3.6
1830,7,-18,911,4,2000,1750,35,Truck (<=6000 lbs.),49,Not Deployed,170,0,1,Female,78,Front,166,352,115,5.8432
1160,-31,-18,909,3,2000,1410,35,Passenger Car,57,Not Deployed,168,1,1,Female,66,Right,147,262,195,3.8514
1210,16,-45,908,3,2001,1560,55,Passenger Car,50,Deployed,175,2,1,Female,113,Front,145,264,115,3.828
1220,79,-46,908,4,2007,2530,50,Passenger Car,27,Deployed,170,2,1,Female,78,Left,150,270,75,4.05
1940,-16,-14,907,4,2002,1810,40,Truck (<=6000 lbs.),54,Not Deployed,165,1,1,Female,61,Right,151,270,185,4.077
2000,0,-23,907,4,2004,1240,45,Truck (<=6000 lbs.),38,Deployed,175,1,1,Female,63,Front,155,290,135,4.495
1530,-28,-16,906,2,2006,1480,45,Passenger Car,40,Not Deployed,155,1,1,Female,54,Right,156,273,195,4.2588
1360,33,-6,904,2,2000,1220,25,Passenger Car,44,Not Deployed,173,1,1,Female,84,Left,154,267,55,4.1118
1580,25,-21,903,2,2005,1800,25,Passenger Car,77,Not Deployed,174,4,1,Female,78,Left,154,272,85,4.1888
2010,-15,-25,903,2,2005,1250,45,Truck (<=6000 lbs.),33,Deployed,173,1,1,Female,86,Front,170,269,165,4.573
1630,0,-40,903,4,2010,1530,35,Truck (<=6000 lbs.),43,Deployed,157,2,1,Female,51,Front,162,275,135,4.455
1300,7,-41,902,2,2002,1520,40,Passenger Car,40,Deployed,157,2,0,Female,66,Front,150,267,125,4.005
1520,6,-33,902,4,2003,1620,45,Passenger Car,77,Deployed,168,1,1,Female,82,Front,156,277,125,4.3212
1460,-5,-28,902,5,2002,1580,40,Passenger Car,44,Deployed,173,1,1,Female,79,Front,154,272,145,4.1888
1200,7,-42,901,2,2008,1310,40,Passenger Car,18,Deployed,160,1,1,Female,48,Front,150,270,125,4.05
1430,19,-16,901,2,2007,2220,50,Passenger Car,18,Deployed,170,0,1,Female,78,Front,156,267,85,4.1652
1710,-5,-26,901,7,2008,1210,45,Passenger Car,76,Deployed,152,1,1,Female,78,Front,160,294,145,4.704
1600,-5,-29,898,4,2005,1310,45,Passenger Car,22,Deployed,157,2,1,Female,54,Front,157,281,145,4.4117
1420,-24,-20,898,5,2004,1570,45,Truck (<=6000 lbs.),17,Deployed,152,1,0,Female,61,Right,148,262,185,3.8776
1670,0,28,897,5,2008,1470,35,Passenger Car,48,Not Deployed,160,1,1,Female,54,Rear,157,278,315,4.3646
1160,41,0,895,2,2000,2410,30,Passenger Car,20,Not Deployed,163,2,1,Female,84,Left,149,267,45,3.9783
1430,0,32,895,3,2006,1310,40,Passenger Car,31,Not Deployed,175,1,1,Female,64,Rear,155,280,315,4.34
1490,-9,-24,895,3,2002,2460,40,Truck (<=6000 lbs.),55,Not Deployed,163,1,1,Female,68,Front,144,264,155,3.8016
1090,-15,-41,894,5,2002,1570,45,Passenger Car,26,Deployed,165,1,1,Female,68,Front,143,260,155,3.718
1280,12,-32,894,5,2004,1230,45,Passenger Car,31,Deployed,155,0,1,Female,54,Front,151,260,115,3.926
1250,7,-39,893,2,2003,1510,35,Passenger Car,55,Deployed,160,3,0,Female,53,Front,148,253,125,3.7444
1270,37,-22,893,3,2007,2280,35,Passenger Car,48,Not Deployed,165,4,1,Female,68,Left,152,264,75,4.0128
1460,-13,-36,893,4,2003,1060,45,Passenger Car,20,Deployed,170,1,1,Female,78,Front,149,256,155,3.8144
1210,-16,-27,892,4,2005,1200,40,Passenger Car,20,Deployed,165,1,1,Female,64,Front,149,262,165,3.9038
1830,0,-23,891,1,2001,1510,35,Truck (<=6000 lbs.),29,Not Deployed,170,0,1,Female,78,Front,152,265,135,4.028
2240,16,-27,890,5,2001,1470,40,Truck (<=10000 lbs.),33,Deployed,157,0,1,Female,68,Front,167,295,105,4.9265
1920,19,-22,888,1,2001,1460,35,Truck (<=6000 lbs.),68,Deployed,168,1,1,Female,100,Left,168,300,95,5.04
1170,-22,-26,888,5,2005,2170,35,Passenger Car,26,Deployed,163,1,1,Female,91,Right,147,267,175,3.9249
1540,-8,-23,888,5,2004,1050,40,Truck (<=6000 lbs.),30,Not Deployed,160,1,1,Female,59,Front,158,258,155,4.0764
1190,6,-32,887,2,2003,1410,55,Passenger Car,70,Deployed,163,3,1,Female,66,Front,146,264,125,3.8544
1560,10,-28,887,2,2004,1230,45,Passenger Car,39,Not Deployed,157,1,1,Female,58,Left,155,282,115,4.371
1750,-5,-26,887,2,2000,1130,45,Truck (<=6000 lbs.),16,Deployed,165,1,1,Female,63,Front,149,258,145,3.8442
1980,6,-18,887,4,2003,1720,45,Passenger Car,63,Deployed,165,1,1,Female,79,Front,165,299,115,4.9335
1450,-5,-30,887,7,2001,1820,35,Passenger Car,72,Deployed,155,3,1,Female,150,Front,153,267,145,4.0851
2080,12,-33,885,3,2006,1430,30,Truck (<=6000 lbs.),24,Deployed,165,1,1,Female,64,Front,158,287,115,4.5346
2150,8,-21,884,2,2002,1670,45,Truck (<=10000 lbs.),30,Deployed,163,1,1,Female,64,Front,147,353,115,5.1891
1280,5,-29,883,3,2007,1240,30,Passenger Car,37,Deployed,173,1,1,Female,81,Front,149,261,125,3.8889
1570,0,26,883,4,2000,1750,35,Passenger Car,35,Not Deployed,168,1,1,Female,142,Rear,158,287,315,4.5346
1440,0,29,883,6,2004,1400,45,Passenger Car,45,Not Deployed,168,1,1,Female,75,Rear,152,270,315,4.104
1570,5,-31,882,2,2005,1160,50,Passenger Car,61,Deployed,157,1,1,Female,66,Front,156,281,125,4.3836
1870,0,-27,882,2,2001,1320,30,Truck (<=6000 lbs.),27,Deployed,155,1,0,Female,70,Front,152,270,135,4.104
2220,3,-17,880,2,2002,1500,35,Truck (<=10000 lbs.),52,Not Deployed,160,1,1,Female,54,Front,166,302,125,5.0132
1490,-33,-12,880,4,2006,1780,45,Passenger Car,27,Deployed,160,0,1,Female,100,Right,153,285,205,4.3605
1880,5,-28,880,5,2007,1300,35,Truck (<=6000 lbs.),48,Deployed,157,1,1,Female,50,Front,158,279,125,4.4082
1390,-5,-31,879,4,2000,2090,65,Passenger Car,21,Deployed,168,0,1,Female,61,Front,154,257,145,3.9578
1140,-14,-38,878,2,2003,1710,40,Passenger Car,54,Deployed,152,1,1,Female,57,Front,147,260,155,3.822
1390,25,-21,877,2,2002,1530,30,Passenger Car,43,Not Deployed,163,2,1,Female,61,Left,150,272,85,4.08
1100,-32,-12,877,5,2002,1360,40,Passenger Car,18,Deployed,170,0,1,Female,78,Right,147,262,205,3.8514
1230,-16,-28,876,3,2010,2000,35,Passenger Car,63,Deployed,160,2,1,Female,59,Front,147,261,165,3.8367
1310,8,-46,875,3,2003,1690,45,Truck (<=6000 lbs.),54,Deployed,175,3,1,Female,63,Front,150,249,125,3.735
1500,-18,-30,875,3,2000,2590,65,Truck (<=6000 lbs.),48,Deployed,170,1,1,Female,78,Right,150,248,165,3.72
1360,35,-20,874,2,2004,1570,35,Passenger Car,45,Deployed,168,1,1,Female,55,Left,150,253,75,3.795
1650,0,30,872,2,2006,1210,55,Passenger Car,37,Not Deployed,173,1,1,Female,91,Rear,158,281,315,4.4398
2020,0,-33,871,2,2002,2100,55,Truck (<=6000 lbs.),47,Not Deployed,170,2,1,Female,68,Front,155,289,135,4.4795
1270,0,36,870,3,2006,1380,70,Passenger Car,83,Not Deployed,157,2,1,Female,82,Rear,149,262,315,3.9038
1580,0,-35,869,2,2006,1050,40,Passenger Car,37,Deployed,170,1,1,Female,78,Front,152,275,135,4.18
1670,7,-37,869,4,2010,1200,45,Passenger Car,45,Not Deployed,173,1,1,Female,74,Front,156,273,125,4.2588
1620,6,-34,868,2,2000,1230,40,Passenger Car,49,Deployed,170,1,1,Female,78,Front,152,270,125,4.104
1700,9,-26,866,2,2001,1000,40,Truck (<=6000 lbs.),24,Deployed,163,1,1,Female,59,Front,149,259,115,3.8591
2500,14,-12,866,2,2003,2420,30,Truck (<=10000 lbs.),49,Not Deployed,168,1,1,Female,68,Front,173,357,85,6.1761
1420,9,-48,866,3,2003,1560,55,Passenger Car,25,Deployed,168,3,1,Female,61,Front,155,279,125,4.3245
1250,-28,-10,866,5,2003,1190,30,Passenger Car,23,Deployed,160,1,1,Female,82,Right,145,264,205,3.828
1880,-13,-36,865,4,2002,2000,30,Truck (<=6000 lbs.),23,Deployed,157,1,1,Female,64,Front,142,272,155,3.8624
1760,16,-28,864,2,2003,1380,40,Truck (<=6000 lbs.),45,Deployed,160,1,1,Female,82,Front,157,272,105,4.2704
1310,24,-29,864,3,2003,2280,35,Truck (<=6000 lbs.),64,Deployed,170,4,0,Female,78,Left,151,249,95,3.7599
1860,0,-29,863,3,2007,2360,45,Truck (<=6000 lbs.),54,Deployed,170,2,1,Female,76,Front,160,278,135,4.448
1570,4,20,863,4,2004,1530,70,Passenger Car,35,Not Deployed,170,1,0,Female,73,Rear,156,281,325,4.3836
1430,-10,-28,863,5,2007,1850,45,Passenger Car,76,Deployed,170,0,1,Female,78,Front,157,272,155,4.2704
1200,0,39,862,2,2002,1880,55,Passenger Car,31,Not Deployed,160,0,0,Female,52,Rear,145,264,315,3.828
1370,0,-39,862,3,2008,1615,45,Truck (<=6000 lbs.),64,Deployed,170,2,1,Female,57,Front,153,260,135,3.978
