id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
6724,s03_1035_1335,s12_0_3,s07_n73_n64,s11_1099_1433,2,2005,s13_2535_2645,s5_40_50,Passenger Car,s07_60_70,Deployed,s1_below_165,4,Female,s1_below_70,s03_141_145,248,135,s1_below_4,1
6791,s03_1035_1335,s11_n10_0,s11_n38_n28,s10_877_1099,3,2007,s08_1695_1855,s5_40_50,Passenger Car,s06_50_60,Deployed,s2_165_170,4,Female,s2_70_100,s04_145_151,270,145,s2_4_5,1
6807,s05_1555_1675,s15_17_25,s12_n28_n20,s10_877_1099,2,2005,s08_1695_1855,s3_20_30,Passenger Car,s08_70_80,Not Deployed,s3_170_180,4,Female,s2_70_100,s05_151_159,272,85,s2_4_5,1
6890,s06_1675_1935,s15_17_25,s13_n20_n6,s10_877_1099,2,2003,s03_1010_1135,s5_40_50,Passenger Car,s05_40_50,Not Deployed,s1_below_165,4,Female,s1_below_70,s05_151_159,285,75,s2_4_5,1
6912,s05_1555_1675,s16_25_31,s11_n38_n28,s13_1833_2554,3,2001,s09_1855_2075,s5_40_50,Passenger Car,s07_60_70,Deployed,s3_170_180,4,Female,s2_70_100,s05_151_159,285,95,s2_4_5,1
6996,s03_1035_1335,s15_17_25,s11_n38_n28,s09_717_877,3,2003,s11_2255_2400,s4_30_40,Truck (<=6000 lbs.),s07_60_70,Deployed,s1_below_165,4,Female,s2_70_100,s04_145_151,249,95,s1_below_4,1
7002,s05_1555_1675,s13_3_13,s11_n38_n28,s01_below_113,2,2004,s10_2075_2255,s5_40_50,Passenger Car,s04_30_40,Deployed,s3_170_180,4,Female,s1_below_70,s05_151_159,272,125,s2_4_5,1
7145,s04_1335_1555,s13_3_13,s13_n20_n6,s08_577_717,3,2001,s09_1855_2075,s5_40_50,Passenger Car,s07_60_70,Deployed,s4_180_up,4,Male,s3_100_130,s05_151_159,267,105,s2_4_5,1
7183,s06_1675_1935,s12_0_3,s11_n38_n28,s07_468_577,4,2002,s08_1695_1855,s5_40_50,Truck (<=6000 lbs.),s06_50_60,Deployed,s1_below_165,4,Female,s1_below_70,s06_159_163,303,135,s2_4_5,1
7221,s04_1335_1555,s15_17_25,s12_n28_n20,s10_877_1099,3,2005,s08_1695_1855,s4_30_40,Passenger Car,s08_70_80,Deployed,s3_170_180,4,Male,s2_70_100,s04_145_151,273,95,s2_4_5,1
7243,s03_1035_1335,s14_13_17,s04_n112_n91,s14_2554_3893,2,2004,s06_1455_1575,s5_40_50,Passenger Car,s05_40_50,Deployed,s4_180_up,4,Male,s3_100_130,s04_145_151,262,125,s1_below_4,1
7267,s06_1675_1935,s15_17_25,s12_n28_n20,s10_877_1099,2,2000,s08_1695_1855,s5_40_50,Truck (<=6000 lbs.),s04_30_40,Deployed,s4_180_up,4,Male,s2_70_100,s04_145_151,269,95,s2_4_5,1
7319,s06_1675_1935,s12_0_3,s10_n48_n38,s12_1433_1833,2,2003,s09_1855_2075,s5_40_50,Truck (<=6000 lbs.),s02_10_20,Deployed,s1_below_165,4,Female,s1_below_70,s04_145_151,269,135,s2_4_5,1
7436,s04_1335_1555,s15_17_25,s12_n28_n20,s11_1099_1433,3,2002,s08_1695_1855,s4_30_40,Passenger Car,s03_20_30,Deployed,s1_below_165,4,Male,s1_below_70,s04_145_151,263,95,s1_below_4,1
